strike,call_dex,put_dex,net_dex
2800.0,0.0,-2059.34,-2059.34
3000.0,0.0,-82025.07,-82025.07
3200.0,0.0,-75075.92,-75075.92
3400.0,0.0,-141977.95,-141977.95
3600.0,0.0,-174822.07,-174822.07
3800.0,0.0,-281046.04,-281046.04
4000.0,0.0,-243717.86,-243717.86
4200.0,0.0,-73824.94,-73824.94
4400.0,672193.0,-55424.37,616768.63
4600.0,0.0,-124232.57,-124232.57
4800.0,0.0,-199855.87,-199855.87
5000.0,672193.0,-225969.2,446223.8
5200.0,0.0,-1490055.01,-1490055.01
5400.0,672193.0,-767251.69,-95058.69
5500.0,0.0,-1132925.15,-1132925.15
5600.0,672193.0,-2288112.73,-1615919.73
5700.0,0.0,-1295131.2,-1295131.2
5725.0,0.0,-31817.75,-31817.75
5750.0,0.0,-72850.27,-72850.27
5775.0,0.0,-312549.78,-312549.78
5800.0,0.0,-6429274.43,-6429274.43
5825.0,0.0,-283600.73,-283600.73
5850.0,0.0,-301434.73,-301434.73
5875.0,0.0,-168198.39,-168198.39
5900.0,0.0,-910401.91,-910401.91
5925.0,0.0,-246124.85,-246124.85
5950.0,0.0,-410879.21,-410879.21
5975.0,0.0,-245237.43,-245237.43
6000.0,0.0,-3472637.7,-3472637.7
6025.0,0.0,-491742.35,-491742.35
6050.0,0.0,-771501.41,-771501.41
6075.0,0.0,-2533729.2,-2533729.2
6100.0,0.0,-1023449.48,-1023449.48
6110.0,0.0,-29756.78,-29756.78
6120.0,0.0,-170402.9,-170402.9
6125.0,10082895.0,-520540.62,9562354.38
6130.0,0.0,-168984.11,-168984.11
6140.0,0.0,-175554.58,-175554.58
6150.0,0.0,-2356628.98,-2356628.98
6160.0,0.0,-152163.55,-152163.55
6170.0,0.0,-344226.44,-344226.44
6175.0,0.0,-926706.13,-926706.13
6180.0,0.0,-181249.19,-181249.19
6190.0,0.0,-301052.16,-301052.16
6200.0,3360965.0,-3027105.09,333859.91
6210.0,0.0,-118932.96,-118932.96
6220.0,0.0,-6445242.95,-6445242.95
6225.0,0.0,-9733510.64,-9733510.64
6230.0,0.0,-174951.24,-174951.24
6235.0,0.0,-332271.12,-332271.12
6240.0,0.0,-1686855.73,-1686855.73
6245.0,0.0,-416058.9,-416058.9
6250.0,0.0,-1794679.39,-1794679.39
6255.0,0.0,-141737.35,-141737.35
6260.0,0.0,-113930.35,-113930.35
6265.0,0.0,-139607.44,-139607.44
6270.0,0.0,-1258196.8,-1258196.8
6275.0,0.0,-5817870.37,-5817870.37
6280.0,0.0,-214080.77,-214080.77
6285.0,0.0,-312750.15,-312750.15
6290.0,0.0,-442149.15,-442149.15
6295.0,0.0,-139955.07,-139955.07
6300.0,0.0,-4948228.67,-4948228.67
6305.0,0.0,-160305.31,-160305.31
6310.0,0.0,-253423.94,-253423.94
6315.0,0.0,-275845.33,-275845.33
6320.0,0.0,-728207.77,-728207.77
6325.0,2688772.0,-11620979.43,-8932207.43
6330.0,0.0,-737991.94,-737991.94
6335.0,0.0,-260725.47,-260725.47
6340.0,16804825.0,-1456054.73,15348770.27
6345.0,0.0,-276830.84,-276830.84
6350.0,0.0,-4875815.6,-4875815.6
6355.0,0.0,-355765.28,-355765.28
6360.0,0.0,-2337129.63,-2337129.63
6365.0,0.0,-625316.13,-625316.13
6370.0,0.0,-18332451.71,-18332451.71
6375.0,2016579.0,-20557825.17,-18541246.17
6380.0,0.0,-1058022.27,-1058022.27
6385.0,0.0,-1546363.52,-1546363.52
6390.0,0.0,-2054320.2,-2054320.2
6395.0,0.0,-1237994.95,-1237994.95
6400.0,672193.0,-10142356.16,-9470163.16
6405.0,0.0,-571327.59,-571327.59
6410.0,0.0,-2952138.06,-2952138.06
6415.0,0.0,-1038329.72,-1038329.72
6420.0,0.0,-5614858.46,-5614858.46
6425.0,0.0,-52734342.59,-52734342.59
6430.0,0.0,-9488722.16,-9488722.16
6435.0,2016579.0,-2243228.29,-226649.29
6440.0,16804825.0,-2551549.65,14253275.35
6445.0,0.0,-1447058.3,-1447058.3
6450.0,672193.0,-64843418.98,-64171225.98
6455.0,0.0,-1510619.72,-1510619.72
6460.0,0.0,-25603277.95,-25603277.95
6465.0,0.0,-1533733.68,-1533733.68
6470.0,3360965.0,-5267078.1,-1906113.1
6475.0,3360965.0,-4067062.24,-706097.24
6480.0,672193.0,-6343660.23,-5671467.23
6485.0,0.0,-2409476.54,-2409476.54
6490.0,0.0,-7130229.1,-7130229.1
6495.0,672193.0,-74477190.45,-73804997.45
6500.0,6049737.0,-24167240.51,-18117503.51
6505.0,0.0,-89554078.71,-89554078.71
6510.0,672193.0,-3778403.78,-3106210.78
6515.0,672193.0,-2954279.0,-2282086.0
6520.0,6721930.0,-3997955.32,2723974.68
6525.0,672193.0,-5943658.1,-5271465.1
6530.0,7394123.0,-52167592.34,-44773469.34
6535.0,0.0,-4086272.85,-4086272.85
6540.0,8066316.0,-16221314.52,-8154998.52
6545.0,671132.76,-15748028.62,-15076895.85
6550.0,12771667.0,-31859781.26,-19088114.26
6555.0,10655084.98,-8522131.64,2132953.34
6560.0,7964125.81,-56757400.4,-48793274.59
6565.0,13911679.77,-9672726.41,4238953.36
6570.0,5289690.25,-23879034.21,-18589343.96
6575.0,3285637.3,-25017757.39,-21732120.1
6580.0,4566896.8,-37311977.3,-32745080.51
6585.0,31821469.51,-21064264.07,10757205.44
6590.0,4503746.38,-28872234.19,-24368487.81
6595.0,21773865.4,-40712720.46,-18938855.06
6600.0,692303451.35,-209716462.96,482586988.4
6605.0,12601664.15,-34913035.01,-22311370.86
6610.0,26764229.49,-42930588.35,-16166358.87
6615.0,8633292.73,-40861523.87,-32228231.14
6620.0,15257830.08,-69838185.4,-54580355.32
6625.0,19890486.22,-49520584.73,-29630098.51
6630.0,630380487.81,-204894935.34,425485552.47
6635.0,24049544.2,-17781489.51,6268054.69
6640.0,95858363.44,-82138594.28,13719769.17
6645.0,55160115.5,-35110136.78,20049978.72
6650.0,163635458.09,-160507445.1,3128012.99
6655.0,33958608.58,-24312330.84,9646277.74
6660.0,586963346.26,-396266407.3,190696938.96
6665.0,35616247.91,-86397489.53,-50781241.62
6670.0,41921631.88,-128651686.94,-86730055.06
6675.0,71736805.99,-124898821.09,-53162015.1
6680.0,82237792.7,-108201257.6,-25963464.89
6685.0,66624945.62,-116568308.07,-49943362.45
6690.0,78902928.47,-77017789.32,1885139.15
6695.0,105306700.73,-66690960.22,38615740.51
6700.0,226412750.76,-536781793.81,-310369043.05
6705.0,92740582.24,-50707278.23,42033304.01
6710.0,60105204.51,-64926736.01,-4821531.49
6715.0,71508789.77,-45965963.4,25542826.38
6720.0,69196460.3,-107496033.91,-38299573.61
6725.0,229415360.94,-392383664.92,-162968303.97
6730.0,68430689.54,-99408510.83,-30977821.3
6735.0,37718620.89,-78358649.76,-40640028.88
6740.0,40969855.39,-63910157.27,-22940301.88
6745.0,67868385.22,-137441473.44,-69573088.22
6750.0,188237443.58,-364611888.13,-176374444.55
6755.0,42198405.01,-103233608.49,-61035203.49
6760.0,110288468.88,-207831960.89,-97543492.01
6765.0,31366092.96,-95750276.55,-64384183.59
6770.0,177630498.6,-360750409.96,-183119911.36
6775.0,39880317.58,-243705828.07,-203825510.49
6780.0,97200802.04,-104877494.13,-7676692.09
6785.0,81447698.4,-37805145.68,43642552.73
6790.0,70308838.44,-187066212.64,-116757374.2
6795.0,39606152.14,-65950819.56,-26344667.42
6800.0,96666617.12,-626778984.24,-530112367.11
6805.0,35554961.75,-25586084.96,9968876.78
6810.0,38633375.87,-87431834.68,-48798458.81
6815.0,13401211.89,-37952040.75,-24550828.85
6820.0,24949740.74,-42679615.81,-17729875.08
6825.0,14775433.29,-396951040.17,-382175606.88
6830.0,12378336.74,-53145856.12,-40767519.38
6835.0,9542176.91,-203963765.54,-194421588.62
6840.0,15087451.94,-69545578.1,-54458126.16
6845.0,6931444.89,-443966491.75,-437035046.85
6850.0,18405632.8,-772814569.26,-754408936.46
6855.0,4465006.51,-29308441.18,-24843434.67
6860.0,4671875.08,-157875538.22,-153203663.14
6865.0,2487697.65,-29296992.3,-26809294.65
6870.0,9920530.19,-117924004.65,-108003474.46
6875.0,15644392.07,-147517171.96,-131872779.89
6880.0,5062263.9,-50096093.64,-45033829.74
6885.0,4981641.15,-17307811.95,-12326170.8
6890.0,5130155.66,-31441465.13,-26311309.46
6895.0,1654646.76,-5780552.0,-4125905.24
6900.0,6513724.95,-496886179.34,-490372454.39
6905.0,1393889.89,-10937949.99,-9544060.1
6910.0,2921048.13,-9692723.43,-6771675.3
6915.0,2651982.59,-5173168.5,-2521185.91
6920.0,3024176.56,-15503690.67,-12479514.11
6925.0,2207020.94,-29344815.63,-27137794.69
6930.0,1250238.16,-24075617.8,-22825379.65
6935.0,1309682.4,-651047.99,658634.41
6940.0,909231.29,-73145968.07,-72236736.78
6945.0,1684985.19,-68197540.1,-66512554.9
6950.0,9278378.96,-41836555.73,-32558176.77
6955.0,577676.65,-655661.22,-77984.56
6960.0,1863586.44,-11160070.3,-9296483.86
6965.0,615130.33,0.0,615130.33
6970.0,2021305.69,-10511028.59,-8489722.9
6975.0,8253482.84,-63542108.43,-55288625.59
6980.0,8310081.71,-3281411.32,5028670.39
6985.0,1133215.86,-656494.65,476721.2
6990.0,2015398.12,-1971688.05,43710.07
6995.0,2113766.37,-1970716.06,143050.31
7000.0,2558510.21,-17741811.96,-15183301.75
7005.0,976119.22,-2629175.86,-1653056.64
7010.0,1607578.2,-657475.34,950102.87
7015.0,1331920.36,-3940153.29,-2608232.93
7020.0,1488983.66,-3284392.07,-1795408.4
7025.0,2544252.58,-3285283.6,-741031.01
7030.0,1499206.73,-2628910.19,-1129703.46
7040.0,2329124.79,-7243221.4,-4914096.61
7050.0,1383448.45,-2635086.77,-1251638.32
7060.0,855163.18,0.0,855163.18
7070.0,416930.95,0.0,416930.95
7075.0,424379.17,-2629471.44,-2205092.27
7080.0,396740.74,0.0,396740.74
7090.0,1140539.77,-658992.57,481547.2
7100.0,567660.01,-1318480.91,-750820.89
7110.0,503390.55,0.0,503390.55
7120.0,216003.24,-660477.78,-444474.54
7125.0,739152.99,0.0,739152.99
7150.0,654496.2,0.0,654496.2
7175.0,235682.4,0.0,235682.4
7200.0,1005696.89,0.0,1005696.89
7225.0,224158.78,0.0,224158.78
7250.0,70641.07,0.0,70641.07
7275.0,67327.11,0.0,67327.11
7300.0,162637.34,0.0,162637.34
7325.0,608092.8,0.0,608092.8
7350.0,77962.77,0.0,77962.77
7375.0,15464.36,0.0,15464.36
7400.0,12598.82,0.0,12598.82
7425.0,538600.59,0.0,538600.59
7500.0,4298.41,0.0,4298.41
7600.0,7309.4,-1332192.01,-1324882.61
7800.0,21099.25,0.0,21099.25
8000.0,9049.67,0.0,9049.67
8200.0,0.0,0.0,0.0
8400.0,0.0,0.0,0.0
8600.0,0.0,0.0,0.0
8800.0,0.0,0.0,0.0
9000.0,94440.39,0.0,94440.39
