strike,call_gex,put_gex,net_gex,gex_profile
2800.0,0.0,-63.41,-63.41,
3000.0,0.0,-13326.07,-13326.07,
3200.0,0.0,-7411.74,-7411.74,
3400.0,0.0,-2569.93,-2569.93,-30408070.27
3600.0,0.0,-8230.52,-8230.52,-45468563.31
3800.0,0.0,-23660.62,-23660.62,-65646672.76
4000.0,0.0,-10186.87,-10186.87,-91191126.12
4200.0,0.0,-103490.03,-103490.03,-123510374.76
4400.0,0.0,-131888.92,-131888.92,-163827064.34
4600.0,0.0,-27951.86,-27951.86,-209984261.37
4800.0,0.0,-215369.01,-215369.01,-261989193.2
5000.0,0.0,-420773.31,-420773.31,-344109177.26
5200.0,0.0,-182096.43,-182096.43,-506490238.24
5400.0,0.0,-134771.24,-134771.24,-744007931.62
5500.0,0.0,-574322.73,-574322.73,-854882316.28
5600.0,0.0,-1907049.66,-1907049.66,-936056213.89
5700.0,0.0,-1211456.56,-1211456.56,-988543146.41
5725.0,0.0,0.0,0.0,-1000113154.43
5750.0,0.0,-17834.52,-17834.52,-1012168893.92
5775.0,0.0,-1630.07,-1630.07,-1024224633.4
5800.0,0.0,-398890.3,-398890.3,-1041030340.85
5825.0,0.0,-231013.16,-231013.16,-1060545200.89
5850.0,0.0,-167854.36,-167854.36,-1080060060.93
5875.0,0.0,-209090.56,-209090.56,-1113579518.34
5900.0,0.0,-291686.85,-291686.85,-1148140142.64
5925.0,0.0,-167079.11,-167079.11,-1187498565.72
5950.0,0.0,-276364.45,-276364.45,-1243401711.25
5975.0,3117.43,-96645.7,-93528.27,-1299304856.79
6000.0,0.0,-842089.14,-842089.14,-1368730388.13
6025.0,0.0,-333457.57,-333457.57,-1450698271.14
6050.0,3730.13,-990188.49,-986458.36,-1532666154.16
6075.0,0.0,-911595.94,-911595.94,-1641622805.12
6100.0,0.0,-3150620.13,-3150620.13,-1756795373.1
6110.0,0.0,0.0,0.0,-1802864400.3
6120.0,0.0,0.0,0.0,-1848933427.49
6125.0,0.0,-925523.53,-925523.53,-1876891935.59
6130.0,0.0,0.0,0.0,-1909147412.67
6140.0,0.0,0.0,0.0,-1973658366.84
6150.0,0.0,-1576566.45,-1576566.45,-2038169321.0
6160.0,0.0,-145905.53,-145905.53,-2102680275.16
6170.0,0.0,-48723.48,-48723.48,-2167191229.32
6175.0,0.0,-1189382.42,-1189382.42,-2199446706.4
6180.0,0.0,-119932.55,-119932.55,-2231702183.49
6190.0,0.0,-21210.81,-21210.81,-2296263245.8
6200.0,29395.23,-8470808.69,-8441413.46,-2385828276.83
6210.0,0.0,-231032.53,-231032.53,-2475393307.85
6220.0,0.0,-411490.95,-411490.95,-2564958338.88
6225.0,0.0,-13760041.09,-13760041.09,-2609740854.39
6230.0,0.0,-128044.11,-128044.11,-2654523369.91
6235.0,0.0,0.0,0.0,-2699305885.42
6240.0,0.0,-402571.65,-402571.65,-2744088400.93
6245.0,0.0,0.0,0.0,-2788870916.44
6250.0,85850.72,-2489659.9,-2403809.18,-2833653431.96
6255.0,0.0,0.0,0.0,-2878435947.47
6260.0,0.0,-564258.35,-564258.35,-2932691645.19
6265.0,0.0,0.0,0.0,-2997459777.18
6270.0,0.0,-951624.17,-951624.17,-3062227909.17
6275.0,0.0,-1823147.69,-1823147.69,-3126996041.15
6280.0,0.0,-445589.05,-445589.05,-3191764173.14
6285.0,0.0,-281953.32,-281953.32,-3256532305.13
6290.0,0.0,-429718.09,-429718.09,-3321300437.12
6295.0,0.0,-596384.13,-596384.13,-3386068569.1
6300.0,1486.24,-4270155.04,-4268668.79,-3450836701.09
6305.0,0.0,-715090.44,-715090.44,-3515604833.08
6310.0,0.0,-499700.1,-499700.1,-3580372965.07
6315.0,0.0,-330436.09,-330436.09,-3645141097.05
6320.0,9336.77,-890536.5,-881199.73,-3709909229.04
6325.0,9788.6,-3637306.08,-3627517.47,-3774677361.03
6330.0,0.0,-764813.56,-764813.56,-3872857257.13
6335.0,0.0,-371550.38,-371550.38,-3973019207.04
6340.0,0.0,-1882880.15,-1882880.15,-4073181156.95
6345.0,21854.53,-365006.62,-343152.09,-4173343106.86
6350.0,11169.26,-13242733.73,-13231564.48,-4273505056.77
6355.0,0.0,-282251.14,-282251.14,-4373667006.68
6360.0,0.0,-2087677.04,-2087677.04,-4473828956.59
6365.0,0.0,-239635.75,-239635.75,-4573990906.5
6370.0,0.0,-7365324.17,-7365324.17,-4674152856.41
6375.0,0.0,-9184403.75,-9184403.75,-4774314806.32
6380.0,0.0,-7597686.52,-7597686.52,-4874476756.23
6385.0,0.0,-668730.44,-668730.44,-4974638706.13
6390.0,0.0,-18302149.7,-18302149.7,-5074800656.04
6395.0,0.0,-1209634.99,-1209634.99,-5186463512.4
6400.0,16902.18,-27523982.64,-27507080.46,-5314405429.56
6405.0,0.0,-2019673.91,-2019673.91,-5442347346.72
6410.0,0.0,-10393339.29,-10393339.29,-5570289263.89
6415.0,45945.15,-1423006.34,-1377061.19,-5698231181.05
6420.0,0.0,-5061832.22,-5061832.22,-5826173098.21
6425.0,0.0,-6061954.42,-6061954.42,-5954115015.38
6430.0,0.0,-3620831.73,-3620831.73,-6082056932.54
6435.0,0.0,-1751506.17,-1751506.17,-6209998849.7
6440.0,36796.05,-6825814.19,-6789018.14,-6337940766.87
6445.0,0.0,-2303724.96,-2303724.96,-6465882684.03
6450.0,527298.36,-7651297.24,-7123998.88,-6593824601.19
6455.0,0.0,-5281831.8,-5281831.8,-6721766518.36
6460.0,62596.96,-6825022.2,-6762425.24,-6849708435.52
6465.0,0.0,-4193660.8,-4193660.8,-6938659959.72
6470.0,70134.88,-4417141.49,-4347006.61,-7022495097.51
6475.0,18601.37,-7052306.54,-7033705.17,-7106330235.3
6480.0,0.0,-10502835.6,-10502835.6,-7190165373.09
6485.0,0.0,-4852603.33,-4852603.33,-7274000510.88
6490.0,0.0,-5340883.06,-5340883.06,-7357835648.67
6495.0,65594.93,-5882024.37,-5816429.45,-7441670786.46
6500.0,187503.97,-79848292.2,-79660788.24,-7525505924.25
6505.0,61978.05,-5578017.76,-5516039.71,-7609341062.04
6510.0,0.0,-34837554.33,-34837554.33,-7693176199.83
6515.0,0.0,-8323502.47,-8323502.47,-7777011337.63
6520.0,110779.82,-252052923.45,-251942143.63,-7860846475.42
6525.0,121690.81,-28100347.55,-27978656.74,-7944681613.21
6530.0,380013.41,-282913799.09,-282533785.68,-7985318419.45
6535.0,0.0,-6671903.31,-6671903.31,-7947124372.06
6540.0,78207.31,-49894904.42,-49816697.11,-7908930324.68
6545.0,178288.64,-21273814.78,-21095526.14,-7870736277.3
6550.0,2811391.24,-66180431.08,-63369039.85,-7832542229.92
6555.0,0.0,-47892634.8,-47892634.8,-7794348182.54
6560.0,564055.39,-21110913.54,-20546858.14,-7756154135.15
6565.0,906315.2,-5075464.36,-4169149.16,-7717960087.77
6570.0,1443264.24,-48358594.07,-46915329.83,-7679766040.39
6575.0,790792.01,-68358949.66,-67568157.65,-7641571993.01
6580.0,2803231.82,-62610091.29,-59806859.47,-7603377945.63
6585.0,1104954.57,-48134173.32,-47029218.75,-7565183898.24
6590.0,3397251.59,-84808327.85,-81411076.26,-7526989850.86
6595.0,1577296.65,-57611099.96,-56033803.31,-7488795803.48
6600.0,4353771.3,-150364184.33,-146010413.03,-7345816473.16
6605.0,3538643.59,-81509977.75,-77971334.16,-7180455820.28
6610.0,4731726.69,-282190677.75,-277458951.06,-7015095167.4
6615.0,5809419.49,-37421754.7,-31612335.21,-6849734514.51
6620.0,7693152.59,-138489182.93,-130796030.34,-6684373861.63
6625.0,5107744.66,-28574292.69,-23466548.03,-6519013208.75
6630.0,19043481.93,-131834632.42,-112791150.49,-6353652555.86
6635.0,16415218.36,-20896777.66,-4481559.29,-6188291902.98
6640.0,10663820.11,-50704099.82,-40040279.71,-6022931250.1
6645.0,12258905.89,-42114064.42,-29855158.52,-5857570597.22
6650.0,67359449.72,-228452663.99,-161093214.27,-5692209944.33
6655.0,17173339.2,-104347852.52,-87174513.33,-5526849291.45
6660.0,74480095.75,-137092295.73,-62612199.98,-5361488638.57
6665.0,17793383.68,-114172138.89,-96378755.21,-5165873559.41
6670.0,20220657.92,-103944515.92,-83723858.0,-4897606694.74
6675.0,37062052.05,-127232250.0,-90170197.95,-4629339830.06
6680.0,18265901.13,-343920524.53,-325654623.4,-4361072965.38
6685.0,13405209.4,-100318618.08,-86913408.68,-4092806100.7
6690.0,35478117.74,-69771295.36,-34293177.62,-3824539236.03
6695.0,29272018.85,-34749569.16,-5477550.31,-3556272371.35
6700.0,101513486.11,-410607799.4,-309094313.28,-3288005506.67
6705.0,35036110.98,-85676977.7,-50640866.73,-3019738641.99
6710.0,33544276.58,-116327393.88,-82783117.3,-2751471777.31
6715.0,68796846.76,-62760525.77,6036320.99,-2483204912.64
6720.0,38378268.64,-70505330.75,-32127062.11,-2214938047.96
6725.0,54061900.53,-77771093.35,-23709192.82,-1946671183.28
6730.0,56046719.6,-103639044.18,-47592324.59,-1678404318.6
6735.0,54142417.35,-52923129.82,1219287.53,-1339352689.88
6740.0,35973571.92,-44279113.06,-8305541.14,-978435610.49
6745.0,68397888.5,-32240053.87,36157834.63,-617518531.1
6750.0,149875620.29,-60060569.22,89815051.07,-256601451.71
6755.0,24740511.67,-18509218.94,6231292.73,104315627.68
6760.0,41482731.2,-40232802.45,1249928.75,465232707.07
6765.0,38918124.05,-14897339.2,24020784.85,826149786.47
6770.0,83995950.19,-27234363.79,56761586.41,1187066865.86
6775.0,67235120.87,-31015573.09,36219547.78,1547983945.25
6780.0,71531664.14,-74920994.5,-3389330.35,1908901024.64
6785.0,21019500.03,-26909450.48,-5889950.45,2269818104.03
6790.0,23908503.89,-9186845.54,14721658.35,2630735183.42
6795.0,23684553.62,-13097648.74,10586904.88,2991652262.82
6800.0,65693864.2,-102577680.63,-36883816.43,3352829725.75
6805.0,31350041.83,-22225841.21,9124200.62,3714859555.34
6810.0,16149405.43,-14476517.26,1672888.17,4076889384.93
6815.0,11479772.23,-5153151.16,6326621.07,4438919214.52
6820.0,8629995.23,-10588251.98,-1958256.76,4800949044.11
6825.0,46922968.34,-24096635.9,22826332.44,5162978873.7
6830.0,10132653.14,-10777753.08,-645099.95,5525008703.29
6835.0,4002457.03,-4769767.11,-767310.07,5887038532.88
6840.0,6899331.81,0.0,6899331.81,6249068362.47
6845.0,3204877.36,-4026727.47,-821850.11,6611098192.06
6850.0,17388274.02,0.0,17388274.02,6973128021.65
6855.0,3114887.6,-651441.29,2463446.32,7335157851.24
6860.0,5167784.34,-1795277.22,3372507.13,7697187680.83
6865.0,4119695.63,-522768.61,3596927.02,8059217510.42
6870.0,5008321.64,-50242.35,4958079.29,8273568356.02
6875.0,9290470.53,0.0,9290470.53,8425826901.54
6880.0,6279950.27,-598158.82,5681791.44,8578085447.05
6885.0,1801018.2,-67555.37,1733462.82,8730343992.57
6890.0,3963987.03,-1739202.87,2224784.16,8882602538.09
6895.0,8296285.2,-112973.61,8183311.59,9034861083.6
6900.0,16166142.94,-108723963.73,-92557820.79,9187119629.12
6905.0,3527978.46,-347847.09,3180131.37,9339378174.63
6910.0,5200036.2,-987182.0,4212854.2,9491636720.15
6915.0,1644467.38,-469569.88,1174897.51,9643895265.67
6920.0,5773606.16,-1308020.67,4465585.49,9796153811.18
6925.0,5843472.49,-3242068.22,2601404.27,9948412356.7
6930.0,36416132.68,-645152.25,35770980.43,10100670902.21
6935.0,1712856.02,-198296.14,1514559.89,10209896145.09
6940.0,36199091.13,-567985.73,35631105.4,10114836859.33
6945.0,2877899.47,-325630.36,2552269.11,10019777573.57
6950.0,7759640.78,-4384492.93,3375147.85,9924718287.81
6955.0,3051013.99,-1921969.97,1129044.02,9829659002.05
6960.0,4928331.15,0.0,4928331.15,9734599716.3
6965.0,2038596.47,-51005.08,1987591.39,9639540430.54
6970.0,9594238.0,-142081.02,9452156.98,9544481144.78
6975.0,2658254.58,-691391.73,1966862.85,9449421859.02
6980.0,9090034.09,-62897.4,9027136.69,9354362573.26
6985.0,1012356.03,-68130.23,944225.8,9259303287.5
6990.0,2735730.93,-44858.12,2690872.81,9164244001.75
6995.0,1199050.15,-21578.44,1177471.71,9069184715.99
7000.0,5142215.38,-768946.53,4373268.84,8974125430.23
7005.0,3069796.59,0.0,3069796.59,8815330771.08
7010.0,2524145.62,0.0,2524145.62,8621303514.22
7015.0,2673134.26,-9804.88,2663329.38,8427276257.36
7020.0,4956897.16,-285629.26,4671267.9,8233249000.49
7025.0,2008281.23,-24671.24,1983609.99,8039221743.63
7030.0,1201561.94,0.0,1201561.94,7845194486.77
7040.0,1805967.86,-34688.17,1771279.69,7457139973.04
7050.0,1776381.23,-161326.45,1615054.78,7069085459.32
7060.0,1297613.66,0.0,1297613.66,6681030945.59
7070.0,789962.69,0.0,789962.69,6296732056.02
7075.0,3783954.64,0.0,3783954.64,6135648870.67
7080.0,5711575.31,0.0,5711575.31,5974565685.32
7090.0,529109.22,0.0,529109.22,5652399314.62
7100.0,4902391.25,-761838.52,4140552.73,5330232943.92
7110.0,432757.59,0.0,432757.59,5008066573.22
7120.0,1099664.86,0.0,1099664.86,4685900202.52
7125.0,1398841.86,-8122.38,1390719.48,4524817017.17
7150.0,906288.64,-598487.25,307801.39,3857347628.19
7175.0,1457182.53,0.0,1457182.53,3318856116.63
7200.0,1805211.37,-730545.88,1074665.49,2780364605.07
7225.0,497631.1,0.0,497631.1,2389334536.39
7250.0,421940.9,-448050.31,-26109.42,2032714562.68
7275.0,792067.15,0.0,792067.15,1689200963.43
7300.0,207579.87,0.0,207579.87,1457641814.73
7325.0,76544.66,0.0,76544.66,1226082666.04
7350.0,328128.64,0.0,328128.64,1029434246.45
7375.0,567291.66,0.0,567291.66,885414538.87
7400.0,179310.24,0.0,179310.24,741394831.28
7425.0,175980.06,0.0,175980.06,635798495.91
7500.0,66595.99,0.0,66595.99,402117326.82
7600.0,5430.57,-2683.85,2746.72,221041826.3
7800.0,84153.62,-164500.67,-80347.06,67315989.08
8000.0,0.0,0.0,0.0,22319442.85
8200.0,374.26,0.0,374.26,9150225.55
8400.0,0.0,0.0,0.0,3681484.04
8600.0,0.0,0.0,0.0,1103552.57
8800.0,0.0,0.0,0.0,155346.11
9000.0,0.0,0.0,0.0,-56917.75
